UniqueID,Log Probability,RFProbability,SVMProbability,GBM,(RF+Log) / 2
6584,0.158198376,0.246777089,,0.63286934,0.202487732
6585,0.022328936,0.022510282,,0.774821481,0.022419609
6586,0.158120046,0.133399944,,0.181319674,0.145759995
6587,0.142675711,0.264748848,,0.968660718,0.203712279
6588,0.004024936,0.016878986,,0.774624818,0.010451961
6589,7.20E-09,0.015899093,,0.181319674,0.00794955
6590,3.18E-08,0.257399035,,0.239145958,0.128699533
6591,0.893592153,0.819381172,,0.668529793,0.856486663
6592,0.039296723,0.025504183,,0.970437963,0.032400453
6593,0.037902534,0.02517188,,0.783229267,0.031537207
6594,0.049774898,0.027946043,,0.375881116,0.03886047
6595,0.04874941,0.025759774,,0.378863743,0.037254592
6596,0.04595353,0.030352193,,0.247064901,0.038152862
6597,0.04398928,0.040638978,,0.777352877,0.042314129
6598,0.041124808,0.025621282,,0.716642227,0.033373045
6599,0.003289311,0.016599744,,0.793453293,0.009944528
6600,0.428124987,0.419924957,,0.228093219,0.424024972
6601,0.103386732,0.145736498,,0.791680123,0.124561615
6602,8.23E-09,0.016002367,,0.11676172,0.008001188
6603,0.003896061,0.017093636,,0.288887537,0.010494849
6604,1.03E-08,0.040076058,,0.035874429,0.020038034
6605,0.115475419,0.223807956,,0.169634884,0.169641687
6606,0.66169447,0.705708418,,0.033012661,0.683701444
6607,8.49E-09,0.026276313,,0.037656698,0.013138161
6608,0.803905637,0.774376508,,0.152529338,0.789141073
6609,0.809245575,0.770438607,,0.033012661,0.789842091
6610,0.003603285,0.016988355,,0.127947774,0.01029582
6611,0.066075264,0.03571331,,0.285136886,0.050894287
6612,0.107234357,0.230670199,,0.022713751,0.168952278
6613,0.048146925,0.025724933,,0.028231276,0.036935929
6614,0.014435008,0.096853512,,0.619912694,0.05564426
6615,0.047922821,0.025724933,,0.422115449,0.036823877
6616,0.599409942,0.217427115,,0.28875025,0.408418529
6617,0.310375308,0.242313612,,0.05116268,0.27634446
6618,1.13E-08,0.046852821,,0.265744203,0.023426416
6619,0.110541448,0.098976141,,0.285665862,0.104758794
6620,2.58E-09,0.002969244,,0.045429685,0.001484623
6621,0.082981301,0.069405708,,0.046724441,0.076193505
6622,0.143690664,0.102920954,,0.290753621,0.123305809
6623,0.041022087,0.027718629,,0.4218462,0.034370358
6624,3.62E-09,0.005239002,,0.276540994,0.002619503
6625,0.020479195,0.094319484,,0.62652141,0.05739934
6626,1.66E-09,0.001854949,,0.65718781,0.000927475
6627,0.039259954,0.027530019,,0.639836622,0.033394986
6628,2.05E-09,0.001885383,,0.642090386,0.000942692
6629,0.010375606,0.007360037,,0.288030827,0.008867822
6630,2.22E-09,0.002112772,,0.78598031,0.001056387
6631,0.012533543,0.013520711,,0.116931566,0.013027127
6632,0.111692743,0.211315199,,0.039065001,0.161503971
6633,0.780797154,0.601535856,,0.0384722,0.691166505
6634,0.007586716,0.086171449,,0.031118423,0.046879082
6635,0.657910575,0.369388517,,0.155123042,0.513649546
6636,0.250562631,0.316866617,,0.139557214,0.283714624
6637,0.304823606,0.376208588,,0.094002602,0.340516097
6638,0.283794449,0.375458745,,0.091989562,0.329626597
6639,0.173943985,0.214227129,,0.283470071,0.194085557
6640,0.213098051,0.307297957,,0.285849465,0.260198004
6641,0.259563451,0.368558266,,0.039733685,0.314060858
6642,0.233778582,0.30544301,,0.032453263,0.269610796
6643,0.277528198,0.374540226,,0.039649736,0.326034212
6644,0.271025011,0.37608645,,0.022324838,0.323555731
6645,0.00237809,0.078998437,,0.025631832,0.040688263
6646,0.463487778,0.415485787,,0.215905883,0.439486783
6647,0.013411747,0.012406995,,0.29023829,0.012909371
6648,0.020806747,0.099663966,,0.789814551,0.060235356
6649,0.194643306,0.260783118,,0.025631832,0.227713212
6650,0.718850882,0.746308085,,0.640403239,0.732579484
6651,0.005784448,0.018964535,,0.286930327,0.012374492
6652,0.062882748,0.035904448,,0.281513171,0.049393598
6653,0.008746288,0.058805305,,0.616750492,0.033775797
6654,1.14E-08,0.025074534,,0.64760048,0.012537273
6655,0.122951491,0.252115501,,0.03702162,0.187533496
6656,0.112937059,0.099154878,,0.145477211,0.106045968
6657,0.006385852,0.031931753,,0.152314009,0.019158802
6658,0.159210409,0.132555298,,0.641769177,0.145882854
6659,0.05735263,0.041159465,,0.224323877,0.049256048
6660,0.485213218,0.462916501,,0.026310566,0.474064859
6661,0.004171608,0.016866744,,0.129882513,0.010519176
6662,0.047922821,0.025724933,,0.194569005,0.036823877
6663,8.36E-09,0.025809276,,0.04005731,0.012904642
6664,0.419349337,0.381138765,,0.038360565,0.400244051
6665,0.150865857,0.138036441,,0.021045155,0.144451149
6666,0.045172096,0.030370028,,0.031112731,0.037771062
6667,0.076390377,0.073616019,,0.037084443,0.075003198
6668,0.021181887,0.024826095,,0.14851789,0.023003991
6669,9.69E-09,0.027601247,,0.047517751,0.013800629
6670,0.877215066,0.779088747,,0.031597389,0.828151906
6671,0.875444639,0.778588747,,0.21428755,0.827016693
6672,0.048072113,0.025724933,,0.61300602,0.036898523
6673,0.030781376,0.14355439,,0.121238114,0.087167883
6674,1.60E-08,0.113988518,,0.046281557,0.056994267
6675,0.041904835,0.026987621,,0.226170181,0.034446228
6676,0.048450986,0.030741306,,0.037084443,0.039596146
6677,0.043507528,0.026902366,,0.0498468,0.035204947
6678,0.006948093,0.042096778,,0.601893773,0.024522436
6679,0.008867677,0.01614348,,0.147255865,0.012505579
6680,0.633369424,0.662422503,,0.037656698,0.647895963
6681,0.050162652,0.028103432,,0.035874429,0.039133042
6682,0.053418465,0.026480601,,0.283741322,0.039949533
6683,0.164753813,0.143140656,,0.029739607,0.153947234
6684,0.590784966,0.544892991,,0.266424845,0.567838978
6685,0.03856329,0.02546218,,0.10863692,0.032012735
6686,0.050761118,0.031551183,,0.657284618,0.041156151
6687,1.10E-08,0.038277989,,0.253693779,0.019139
6688,0.721812759,0.746467743,,0.253693779,0.734140251
6689,0.004782257,0.017272399,,0.97310979,0.011027328
6690,0.03792658,0.02741741,,0.987498847,0.032671995
6691,0.117255346,0.239088876,,0.151384195,0.178172111
6692,7.03E-08,0.253478229,,0.390399613,0.12673915
6693,7.69E-09,0.01608741,,0.968674536,0.008043709
6694,0.751270223,0.767231714,,0.160913564,0.759250968
6695,1.64E-08,0.128239996,,0.801870479,0.064120006
6696,0.003656459,0.016988355,,0.037084443,0.010322407
6697,0.661615641,0.65185269,,0.256971553,0.656734166
6698,0.037629663,0.027412532,,0.967281265,0.032521097
6699,0.036444715,0.070344606,,0.899537099,0.053394661
6700,0.049821005,0.025784194,,0.282468811,0.037802599
6701,0.594928603,0.242896751,,0.777881652,0.418912677
6702,0.041777074,0.030935344,,0.181319674,0.036356209
6703,0.012709495,0.112294672,,0.253693779,0.062502083
6704,0.547919896,0.18971892,,0.975740437,0.368819408
6705,0.295883616,0.242300152,,0.181319674,0.269091884
6706,1.77E-09,0.001856413,,0.038245504,0.000928207
6707,0.046401001,0.086986914,,0.359251035,0.066693958
6708,0.04259252,0.028408523,,0.783229267,0.035500521
6709,0.085757457,0.068996302,,0.781608968,0.07737688
6710,0.038141541,0.02517188,,0.777726183,0.03165671
6711,0.136412372,0.110242341,,0.967820671,0.123327356
6712,0.049589515,0.025755199,,0.365177353,0.037672357
6713,4.29E-09,0.012470516,,0.774056482,0.00623526
6714,0.02387343,0.102618269,,0.96566123,0.06324585
6715,0.069692363,0.03862835,,0.788805509,0.054160357
6716,2.03E-09,0.001885383,,0.975015737,0.000942692
6717,1.66E-09,0.001854949,,0.384406759,0.000927475
6718,0.18948233,0.235996067,,0.107434542,0.212739199
6719,0.010409208,0.007360037,,0.971464079,0.008884622
6720,0.733466463,0.75755623,,0.96983166,0.745511346
6721,2.19E-09,0.001885383,,0.127947774,0.000942692
6722,0.043239734,0.030949228,,0.286588308,0.037094481
6723,0.934156499,0.815905166,,0.224323877,0.875030833
6724,0.08154576,0.100285643,,0.042107968,0.090915702
6725,0.529283187,0.4546181,,0.109037185,0.491950643
6726,0.072277645,0.048400872,,0.789823831,0.060339259
6727,0.001618538,0.26285597,,0.245344059,0.132237254
6728,0.873832578,0.766757897,,0.047969589,0.820295237
6729,0.004337689,0.016850621,,0.17110706,0.010594155
6730,0.005793851,0.018964535,,0.025369707,0.012379193
6731,0.867512714,0.237293541,,0.974641333,0.552403128
6732,0.03991812,0.025429913,,0.025454694,0.032674017
6733,0.046555596,0.027727461,,0.287503716,0.037141528
6734,0.007330121,0.045385124,,0.657836698,0.026357623
6735,0.010045438,0.007999736,,0.038221193,0.009022587
6736,0.056733214,0.027367404,,0.390399613,0.042050309
6737,0.05544024,0.036684514,,0.19977012,0.046062377
6738,0.135449001,0.149867584,,0.642431371,0.142658293
6739,9.91E-06,0.316413266,,0.270005657,0.158211588
6740,0.00353934,0.016886076,,0.026348337,0.010212708
6741,0.122951491,0.252115501,,0.029482502,0.187533496
6742,0.036269335,0.02505703,,0.255337222,0.030663182
6743,0.059908811,0.033342212,,0.04005731,0.046625511
6744,2.94E-09,0.006950033,,0.025454694,0.003475018
6745,0.208478214,0.320709657,,0.777881652,0.264593935
6746,0.048598122,0.025759774,,0.157452808,0.037178948
6747,0.049160394,0.027839369,,0.037656698,0.038499881
6748,0.066952194,0.091422026,,0.031597389,0.07918711
6749,0.090127842,0.110387176,,0.114310861,0.100257509
6750,0.734104701,0.761443084,,0.789776615,0.747773892
6751,0.004151298,0.016866744,,0.290922637,0.010509021
6752,0.184259024,0.275465353,,0.03913115,0.229862188
6753,0.99827128,0.327663859,,0.047964143,0.66296757
6754,0.009724655,0.02302971,,0.645723014,0.016377183
6755,0.049821005,0.025784194,,0.038221193,0.037802599
6756,0.066135419,0.042241181,,0.226170181,0.0541883
6757,0.405100948,0.4105952,,0.287503716,0.407848074
6758,0.189572698,0.263387028,,0.285961021,0.226479863
6759,0.00700468,0.041805838,,0.419189418,0.024405259
6760,0.01921145,0.031801975,,0.046947865,0.025506712
6761,0.05139455,0.032091499,,0.626105361,0.041743025
6762,0.026396842,0.021892186,,0.62230689,0.024144514
6763,0.036269335,0.02505703,,0.626795029,0.030663182
6764,0.731224965,0.759977393,,0.029482502,0.745601179
6765,0.070223811,0.039865447,,0.03913115,0.055044629
6766,0.045735635,0.026006047,,0.62008311,0.035870841
6767,0.046817084,0.025807752,,0.293391568,0.036312418
6768,0.10954649,0.260908296,,0.025631832,0.185227393
6769,1.27E-08,0.068910263,,0.63034208,0.034455138
6770,0.103841916,0.140550308,,0.645928778,0.122196112
6771,0.003278617,0.016599744,,0.794211154,0.009939181
6772,0.061458755,0.059648852,,0.036576057,0.060553803
6773,0.037748161,0.027412532,,0.634100065,0.032580346
6774,0.037664966,0.02517188,,0.104167161,0.031418423
6775,0.658810141,0.588767243,,0.037656698,0.623788692
6776,0.061548408,0.036379374,,0.024317964,0.048963891
6777,7.63E-09,0.01608741,,0.157452808,0.008043709
6778,0.048252112,0.027733358,,0.413180711,0.037992735
6779,0.089413119,0.206457177,,0.043783811,0.147935148
6780,0.77573613,0.781602322,,0.284322516,0.778669226
6781,0.115308664,0.223807956,,0.641769177,0.16955831
6782,0.091150692,0.107116062,,0.29218892,0.099133377
6783,0.03737291,0.030572741,,0.28745715,0.033972826
6784,0.003845669,0.017314937,,0.60629033,0.010580303
6785,0.017972043,0.089312506,,0.047517751,0.053642274
6786,7.42E-09,0.026755765,,0.03714077,0.013377886
6787,0.673655235,0.704583078,,0.039733685,0.689119156
6788,0.024880252,0.145843001,,0.656455441,0.085361626
6789,0.039362412,0.070671268,,0.127533615,0.05501684
6790,0.014575119,0.098034121,,0.288072724,0.05630462
6791,0.048598122,0.025759774,,0.285409097,0.037178948
6792,0.003522098,0.016886076,,0.024660439,0.010204087
6793,4.14E-08,0.248818127,,0.661262875,0.124409084
6794,7.94E-09,0.016155707,,0.793305827,0.008077857
6795,0.460343639,0.19133083,,0.049340647,0.325837235
6796,0.089279429,0.068988092,,0.023479684,0.07913376
6797,0.301358006,0.242313612,,0.023509014,0.271835809
6798,0.040060371,0.058108152,,0.022713751,0.049084261
6799,0.150870219,0.105899238,,0.050501433,0.128384729
6800,0.018647328,0.022240534,,0.052027232,0.020443931
6801,0.021280644,0.09818804,,0.284322516,0.059734342
6802,3.37E-09,0.003290596,,0.285849465,0.001645299
6803,1.82E-09,0.001904486,,0.039733685,0.000952244
6804,1.67E-09,0.001854949,,0.049627664,0.000927475
6805,0.005576811,0.009705532,,0.629839056,0.007641172
6806,2.21E-09,0.001878048,,0.207714828,0.000939025
6807,0.733251773,0.531424601,,0.28734041,0.632338187
6808,0.890285831,0.821504685,,0.050136606,0.855895258
6809,0.051790285,0.026647628,,0.13949852,0.039218956
6810,0.979294239,0.801605038,,0.375358911,0.890449638
6811,0.041474315,0.027753112,,0.035320786,0.034613713
6812,0.013313169,0.10459767,,0.023594494,0.058955419
6813,0.005812701,0.018964535,,0.629839056,0.012388618
6814,0.063857126,0.05670702,,0.03913115,0.060282073
6815,0.078852129,0.111566184,,0.022463602,0.095209156
6816,0.134867847,0.261705175,,0.612493908,0.198286511
6817,0.164529133,0.143140656,,0.099268032,0.153834894
6818,0.066581103,0.035793233,,0.15983489,0.051187168
6819,0.88222727,0.780123847,,0.033681412,0.831175559
6820,0.070823099,0.064389246,,0.020812991,0.067606173
6821,0.008440137,0.0478697,,0.207347768,0.028154918
6822,0.05723115,0.017690255,,0.292375,0.037460703
6823,0.144290534,0.136108045,,0.049340647,0.140199289
6824,0.622733882,0.576281981,,0.787279689,0.599507932
6825,0.800479939,0.783665968,,0.03221486,0.792072953
6826,0.039296723,0.025504183,,0.079130154,0.032400453
6827,0.057031494,0.03217099,,0.11298288,0.044601242
6828,0.003316199,0.016607536,,0.092657066,0.009961867
6829,0.011579324,0.124175661,,0.152529338,0.067877493
6830,0.070823099,0.064389246,,0.037656698,0.067606173
6831,4.40E-08,0.008200021,,0.029482502,0.004100032
6832,0.054590953,0.033887497,,0.173398476,0.044239225
6833,0.065373087,0.035810209,,0.04032801,0.050591648
6834,0.043575561,0.026902366,,0.640050361,0.035238964
6835,0.74074708,0.764815559,,0.283741322,0.75278132
6836,0.065039078,0.060674185,,0.024660439,0.062856631
6837,0.100692544,0.116173513,,0.037794093,0.108433029
6838,0.017245825,0.03021365,,0.643764463,0.023729738
6839,0.044472701,0.030397425,,0.285961021,0.037435063
6840,0.049697689,0.027934278,,0.091677319,0.038815983
6841,0.039855559,0.025429913,,0.62367106,0.032642736
6842,0.006671901,0.039554632,,0.289035449,0.023113266
6843,0.048001086,0.030600428,,0.034915775,0.039300757
6844,0.867768345,0.769918115,,0.145477211,0.81884323
6845,0.73147675,0.783644269,,0.266424845,0.757560509
6846,0.037605797,0.025166745,,0.638045968,0.031386271
6847,0.403134015,0.411506405,,0.247064901,0.40732021
6848,0.058417279,0.028646953,,0.19977012,0.043532116
6849,0.030066898,0.025179845,,0.284651265,0.027623372
6850,0.09515903,0.21612608,,0.287156234,0.155642555
6851,0.036786766,0.025015934,,0.152529338,0.03090135
6852,0.723449934,0.741196445,,0.19977012,0.73232319
6853,0.054840276,0.0268701,,0.19869947,0.040855188
6854,0.042303393,0.030935344,,0.285571641,0.036619368
6855,0.053700309,0.030921689,,0.048883135,0.042310999
6856,0.051634009,0.032057289,,0.026310566,0.041845649
6857,0.084479798,0.117949603,,0.084694406,0.1012147
6858,0.051152239,0.026070924,,0.038221193,0.038611582
6859,0.714205561,0.741337094,,0.29047509,0.727771328
6860,0.855736688,0.572317629,,0.870686473,0.714027158
6861,0.050553266,0.028070816,,0.284322516,0.039312041
6862,0.054536539,0.031065351,,0.141787314,0.042800945
6863,1.54E-08,0.104737672,,0.14851789,0.052368844
6864,0.425327551,0.408584102,,0.050501433,0.416955826
6865,0.064052719,0.057231068,,0.603853521,0.060641894
6866,0.656187507,0.700343015,,0.106062519,0.678265261
6867,0.129141591,0.219012715,,0.144297864,0.174077153
6868,0.060835505,0.033263449,,0.422302668,0.047049477
6869,0.556035144,0.464501046,,0.146493956,0.510268095
6870,7.10E-09,0.015536264,,0.640547427,0.007768136
6871,7.54E-09,0.026323871,,0.038221193,0.013161939
6872,0.010654734,0.086554802,,0.264191824,0.048604768
6873,1.96E-08,0.225915667,,0.292122224,0.112957843
6874,0.187075601,0.262975986,,0.659344911,0.225025794
6875,0.041086401,0.027718629,,0.790667238,0.034402515
6876,0.047852003,0.030550234,,0.036576057,0.039201119
6877,0.054844444,0.051034908,,0.282468811,0.052939676
6878,0.4606454,0.403658416,,0.640257584,0.432151908
6879,0.05219807,0.081375863,,0.04032801,0.066786966
6880,0.003802109,0.017233199,,0.028909032,0.010517654
6881,6.05E-09,0.025128696,,0.26516183,0.012564351
6882,0.035111422,0.027400337,,0.199176576,0.03125588
6883,0.049359044,0.02575811,,0.033012661,0.037558577
6884,2.37E-09,0.00224033,,0.028804866,0.001120166
6885,0.915486143,0.760787516,,0.04032801,0.838136829
6886,0.011807086,0.01023558,,0.034658171,0.011021333
6887,7.99E-09,0.016122688,,0.034782746,0.008061348
6888,0.422101232,0.189005778,,0.784263959,0.305553505
6889,0.270688376,0.243878291,,0.285665862,0.257283334
6890,0.048931815,0.027853258,,0.039733685,0.038392536
6891,0.064565749,0.08348642,,0.047889657,0.074026084
6892,0.088749542,0.069045522,,0.645928778,0.078897532
6893,0.149411095,0.102300219,,0.636068896,0.125855657
6894,7.87E-09,0.016268895,,0.033992035,0.008134451
6895,0.053866582,0.031330622,,0.769469097,0.042598602
6896,0.005912625,0.010211998,,0.14851789,0.008062311
6897,0.014316085,0.06509045,,0.279138052,0.039703268
6898,3.58E-09,0.004464227,,0.03913115,0.002232115
6899,1.67E-09,0.001854949,,0.04032801,0.000927475
6900,2.10E-09,0.001885383,,0.095518191,0.000942692
6901,2.18E-09,0.001885383,,0.972868374,0.000942692
6902,0.044497304,0.027979742,,0.288021524,0.036238523
6903,0.17300706,0.207331827,,0.771734197,0.190169443
6904,0.790696408,0.718421536,,0.655258802,0.754558972
6905,0.052112123,0.033762773,,0.620591405,0.042937448
6906,0.004408818,0.016876894,,0.137637224,0.010642856
6907,0.141291256,0.137419584,,0.094365055,0.13935542
6908,0.054087281,0.032393159,,0.095518191,0.04324022
6909,0.084404465,0.10449503,,0.640090966,0.094449748
6910,0.003979354,0.016878986,,0.141394333,0.01042917
6911,0.048027543,0.027729129,,0.256971553,0.037878336
6912,0.005784448,0.018964535,,0.077923095,0.012374492
6913,0.11759395,0.234118873,,0.037832906,0.175856412
6914,0.003359676,0.016740044,,0.035751595,0.01004986
6915,0.065572998,0.035717186,,0.194801845,0.050645092
6916,0.043307367,0.030949228,,0.29047509,0.037128298
6917,0.004844861,0.017282738,,0.640547427,0.0110638
6918,0.196854155,0.251141336,,0.288346607,0.223997746
6919,0.079920766,0.101768045,,0.049627664,0.090844406
6920,0.185007494,0.263971619,,0.593357521,0.224489557
6921,0.852611034,0.765592564,,0.290922637,0.809101799
6922,0.013324167,0.089672018,,0.156128781,0.051498093
6923,0.006003794,0.025944895,,0.289718118,0.015974345
6924,0.093672101,0.111335797,,0.122980185,0.102503949
6925,0.930782239,0.570674546,,0.659142829,0.750728393
6926,0.003765164,0.017036481,,0.026310566,0.010400822
6927,0.626132436,0.658941272,,0.04032801,0.642536854
6928,0.04674782,0.030349801,,0.419848048,0.038548811
6929,0.050240546,0.028070816,,0.21929387,0.039155681
6930,6.85E-09,0.025642649,,0.975376619,0.012821328
6931,0.036269335,0.02505703,,0.187578659,0.030663182
6932,0.006959374,0.042096778,,0.047517751,0.024528076
6933,0.044126886,0.030397425,,0.037656698,0.037262155
6934,0.745425085,0.760934047,,0.032619706,0.753179566
6935,0.529142942,0.48996569,,0.037832906,0.509554316
6936,0.048072113,0.025724933,,0.804111938,0.036898523
6937,0.049697689,0.027934278,,0.025369707,0.038815983
6938,0.218921857,0.130654253,,0.427000233,0.174788055
6939,0.008197571,0.046860072,,0.280672958,0.027528821
6940,0.719510734,0.746454599,,0.283470071,0.732982667
6941,4.42E-08,0.250546651,,0.037794093,0.125273348
6942,0.048677434,0.032106935,,0.029781857,0.040392184
6943,0.943068053,0.714753233,,0.145276451,0.828910643
6944,0.052794432,0.031138174,,0.640090966,0.041966303
6945,0.045098225,0.026006047,,0.626779671,0.035552136
6946,0.104604494,0.14268628,,0.035874429,0.123645387
6947,0.110826903,0.099080132,,0.248470552,0.104953517
6948,8.57E-09,0.0160368,,0.084166374,0.008018404
6949,0.052521079,0.033427702,,0.024157694,0.04297439
6950,0.33445378,0.319577342,,0.030969226,0.327015561
6951,0.108119604,0.10543338,,0.043737884,0.106776492
6952,0.079926679,0.113649792,,0.139557214,0.096788236
6953,0.613479392,0.541654583,,0.03853807,0.577566988
6954,0.02327522,0.021468122,,0.220662471,0.022371671
6955,4.27E-08,0.250691534,,0.214959113,0.125345789
6956,0.989964603,0.798721912,,0.037832906,0.894343258
6957,0.049774898,0.027946043,,0.285409097,0.03886047
6958,8.75E-09,0.016020677,,0.037392263,0.008010343
6959,0.004192017,0.016866744,,0.122980185,0.01052938
6960,0.317939756,0.33152804,,0.418319398,0.324733898
6961,6.68E-09,0.025451482,,0.789098785,0.012725744
6962,0.05535055,0.026641754,,0.791724512,0.040996152
6963,0.283116441,0.252830457,,0.033626164,0.267973449
6964,0.040232339,0.025596892,,0.786860519,0.032914616
6965,0.065537541,0.06345684,,0.03611515,0.064497191
6966,0.173699201,0.273779053,,0.049627664,0.223739127
6967,0.720498739,0.747070992,,0.169635307,0.733784865
6968,0.117832077,0.221939566,,0.139557214,0.169885822
6969,0.042194608,0.028229473,,0.418181288,0.03521204
6970,0.006864202,0.015270661,,0.022378257,0.011067431
6971,0.009533162,0.086473377,,0.786364089,0.04800327
6972,0.604142195,0.510948853,,0.431230497,0.557545524
6973,1.09E-08,0.056258398,,0.018728028,0.028129205
6974,0.034597371,0.029272598,,0.034289068,0.031934985
6975,0.075405422,0.066174648,,0.218912002,0.070790035
6976,2.32E-07,0.008057164,,0.78527129,0.004028698
6977,0.054083167,0.026484742,,0.022378257,0.040283954
6978,0.003545106,0.016886076,,0.021623187,0.010215591
6979,0.053921618,0.091875719,,0.134387325,0.072898669
6980,0.047182941,0.025724933,,0.621629377,0.036453937
6981,0.047182941,0.025724933,,0.040611833,0.036453937
6982,0.618468934,0.212394857,,0.039787206,0.415431896
6983,0.086271171,0.068996302,,0.094289198,0.077633737
6984,0.052439845,0.032302011,,0.786860519,0.042370928
6985,9.67E-09,0.033231402,,0.025140923,0.016615706
6986,0.301358006,0.242313612,,0.041561844,0.271835809
6987,0.033841558,0.029313694,,0.174095397,0.031577626
6988,0.045835808,0.029026264,,0.374682399,0.037431036
6989,0.01178804,0.01023558,,0.142166125,0.01101181
6990,0.959890238,0.780198697,,0.025140923,0.870044468
6991,0.177021613,0.101979671,,0.040203554,0.139500642
6992,1.66E-09,0.001854949,,0.391428776,0.000927475
6993,0.014689643,0.066553626,,0.384208928,0.040621634
6994,4.88E-09,0.019130632,,0.035038755,0.009565318
6995,0.04259252,0.028408523,,0.116642303,0.035500521
6996,0.012194442,0.010213841,,0.156869354,0.011204141
6997,1.93E-09,0.001908857,,0.026010687,0.000954429
6998,0.049697689,0.027934278,,0.04533435,0.038815983
6999,2.20E-09,0.00202824,,0.028687482,0.001014121
7000,0.035650035,0.074409592,,0.412857044,0.055029813
7001,0.05895876,0.03131976,,0.045429685,0.04513926
7002,0.821548361,0.757617639,,0.076697156,0.789583
7003,0.913081401,0.775213142,,0.095684754,0.844147271
7004,0.725065906,0.387514118,,0.149777153,0.556290012
7005,0.892028801,0.818885624,,0.07405002,0.855457213
7006,0.039485211,0.030484457,,0.348010045,0.034984834
7007,1.00E-08,0.01649498,,0.035380059,0.008247495
7008,0.00939978,0.022086034,,0.779605181,0.015742907
7009,0.70681358,0.735682539,,0.424469833,0.72124806
7010,0.00386449,0.017495286,,0.036956323,0.010679888
7011,0.078025517,0.109864788,,0.775429425,0.093945153
7012,0.718850882,0.746308085,,0.395069495,0.732579484
7013,0.035314589,0.074671683,,0.388732501,0.054993136
7014,0.075821701,0.105742506,,0.029781857,0.090782104
7015,0.0469678,0.074364487,,0.112512034,0.060666144
7016,0.127432699,0.303187959,,0.986604235,0.215310329
7017,0.074459402,0.099087018,,0.420965883,0.08677321
7018,0.163266572,0.246538864,,0.044921562,0.204902718
7019,0.091748391,0.112716079,,0.785495196,0.102232235
7020,0.009683261,0.030269016,,0.035496626,0.019976138
7021,0.687854737,0.726166696,,0.778330408,0.707010716
7022,0.80799336,0.773146113,,0.031300544,0.790569736
7023,0.926101022,0.775370887,,0.035863272,0.850735955
7024,0.844888433,0.77182486,,0.035851568,0.808356646
7025,0.042702285,0.034185927,,0.424469833,0.038444106
7026,0.957430761,0.780127391,,0.128167446,0.868779076
7027,9.10E-09,0.026756704,,0.028442321,0.013378357
7028,1.00E-08,0.016622971,,0.03022015,0.008311491
